work,source_type,source_ref,place_text,normalized_place,place_type,city,region,country,confidence,context
"Beaux présents, belles absentes",pdf,31,Grèce,Greece,country,,,Greece,0.900,The mention of 'Grèce' in a poetic context.
"Beaux présents, belles absentes",pdf,35,France,France,country,,,France,0.900,Mention of France in various contexts.
"Beaux présents, belles absentes",pdf,35,cité-fantôme,cité-fantôme,other,,,,0.600,Reference to a ghost city.
"Beaux présents, belles absentes",pdf,38,Corne d'Or,Golden Horn,other,Istanbul,,Turkey,0.900,Mentioned in a poetic reference to a significant geographical location.
"Beaux présents, belles absentes",pdf,38,Marmara,Marmara Sea,other,,,Turkey,0.850,Referencing a notable body of water in the region.
"Beaux présents, belles absentes",pdf,38,Chaldée,Chaldea,region,,,Iraq,0.800,Historical region often referenced in literature.
"Beaux présents, belles absentes",pdf,38,Achéron,Acheron,river,,,,0.750,"Referencing a river in Greek mythology, often connected with the underworld."
"Beaux présents, belles absentes",pdf,39,la ville,the city,city,,,,0.800,Repeated mentions reference a conceptual city with varying descriptors.
"Beaux présents, belles absentes",pdf,41,l'lénisséi,l'lenisei,river,,,,0.800,River mentioned in connection with indigenous people.
"Beaux présents, belles absentes",pdf,41,Leeds,leeds,city,Leeds,,United Kingdom,0.900,City mentioned where frozen Indians spend money.
"Beaux présents, belles absentes",pdf,41,Silésiens,silesians,other,,Silesia,Poland or Czech Republic,0.700,Refers to people from the Silesia region.
"Beaux présents, belles absentes",pdf,44,Paris,Paris,city,Paris,Île-de-France,France,0.950,A date reference 'Paris 7-6-80' implies this is the location.
"Beaux présents, belles absentes",pdf,46,l'Escaut,Escaut,river,,,,0.900,"Mentioned alongside other names, suggesting geographical importance."
"Beaux présents, belles absentes",pdf,46,Calcutta,Calcutta,city,Kolkata,,India,0.950,Direct mention of a prominent city in India.
"Beaux présents, belles absentes",pdf,49,Gange,Ganges,river,,,India,0.900,m'endormir dans ma main de Gange
"Beaux présents, belles absentes",pdf,49,Niger,Niger River,river,,,Niger,0.900,m'endormir dans ma main de Niger
"Beaux présents, belles absentes",pdf,50,Saïgon,Saigon,city,Saigon,Ho Chi Minh City,Vietnam,0.900,Mentioned as part of a list of places.
"Beaux présents, belles absentes",pdf,50,Macao,Macao,city,Macao,,China,0.900,Mentioned as part of a list of places.
"Beaux présents, belles absentes",pdf,50,Indonésie,Indonesia,country,,,Indonesia,0.900,Mentioned as part of a list of places.
"Beaux présents, belles absentes",pdf,50,Madagascar,Madagascar,country,,,Madagascar,0.900,Mentioned as part of a list of places.
"Beaux présents, belles absentes",pdf,50,Sargasses,Sargasso Sea,natural_feature,,,Atlantic Ocean,0.700,Mentioned in relation to a migraine of the sea.
"Beaux présents, belles absentes",pdf,50,MnongGar,Mnong Gar,district,,Dak Lak Province,Vietnam,0.800,Referencing ethnic memory and identity.
"Beaux présents, belles absentes",pdf,53,Vénise,Venice,city,Venice,Veneto,Italy,0.950,Multiple mentions of Vénise indicate a focus on the city.
"Beaux présents, belles absentes",pdf,53,VIENNE,Vienna,city,Vienna,Vienna,Austria,0.850,The mention of VIENNE suggests a contrast with Vénise.
"Beaux présents, belles absentes",pdf,58,place Saint-Sulpice,place saint-sulpice,landmark,Paris,Île-de-France,France,0.900,Reference to the 'Tabac de la place Saint-Sulpice' in a peaceful setting.
"Beaux présents, belles absentes",pdf,59,Popocatepetl,Popocatepetl,other,,,Mexico,0.900,Mention of alpinistes conquering the Popocatepetl.
"Beaux présents, belles absentes",pdf,59,Mississipi,Mississippi,river,,,United States,0.900,Presence of canoëistes descending the Mississippi.
"Beaux présents, belles absentes",pdf,59,Balinaises,Bali,region,,Bali,Indonesia,0.800,Reference to petits Balinaises dancing in cacao plantations.
"Beaux présents, belles absentes",pdf,59,Londoniens,London,city,London,,United Kingdom,0.850,Mention of impassible Londoniens announcing news.
"Beaux présents, belles absentes",pdf,62,île de la Cité,Ile de la Cité,other,Paris,Île-de-France,France,0.950,Mentioned as a location where the sun shines.
"Beaux présents, belles absentes",pdf,62,Sacré-Cœur,Sacré-Cœur,landmark,Paris,Île-de-France,France,0.950,Tourists climb the stairs of Sacré-Cœur.
"Beaux présents, belles absentes",pdf,62,rue de la Huchette,Rue de la Huchette,street,Paris,Île-de-France,France,0.950,Dutch women are playing banjo and biniou on rue de la Huchette.
"Beaux présents, belles absentes",pdf,62,rue Saint-Louis-en-l'Île,Rue Saint-Louis-en-l'Île,street,Paris,Île-de-France,France,0.950,Colonels in retirement hold meetings at a tobacconist on rue Saint-Louis-en-l'Île.
"Beaux présents, belles absentes",pdf,63,Iénisséi,Yenisei,river,,,Russia,0.900,Cosaques à l'œil bridé descendant l'Iénisséi sur des canots en écorce de bouleau
"Beaux présents, belles absentes",pdf,63,Ballon d'Alsace,Ballon d'Alsace,other,,Alsace,France,0.900,Excursionnistes en bérets basques à l'assaut du Ballon d'Alsace
"Beaux présents, belles absentes",pdf,63,Bronx,Bronx,district,New York,New York,United States,0.900,Irlandaises obèses achetant de la bière en boîte et des cornichons au sel dans un Delikatessen du Bronx
"Beaux présents, belles absentes",pdf,64,la Croix du Sud,la croix du sud,landmark,,,,0.800,Mention of la Croix du Sud in a poetic context referencing greetings.
"Beaux présents, belles absentes",pdf,64,l'Étoile du Berger,l'étoile du berger,landmark,,,,0.800,Mention of l'Étoile du Berger in a poetic context referencing greetings.
"Beaux présents, belles absentes",pdf,67,Madère,Madeira,region,,,Portugal,0.900,Reference to a ship anchored in the waters of Madeira.
"Beaux présents, belles absentes",pdf,71,Mandchourie,Mandchourie,region,,,China,0.900,Mentioned as a market location.
"Beaux présents, belles absentes",pdf,71,Caire,Caire,city,Cairo,,Egypt,1.000,Refers to a street in Cairo.
"Beaux présents, belles absentes",pdf,71,Cerbère,Cerbère,city,Cerbère,Occitanie,France,1.000,Mentioned in relation to a seafarer.
"Beaux présents, belles absentes",pdf,72,rue du Maroc,rue du Maroc,street,,,,0.800,The text mentions a street called 'rue du Maroc'.
"Beaux présents, belles absentes",pdf,75,Indes,Indes,region,,,,0.700,Mentioned in the context of being far away.
"Beaux présents, belles absentes",pdf,85,Bond Street,bond street,street,London,England,United Kingdom,0.900,Mentioned in a list of luxury items.
"Beaux présents, belles absentes",pdf,85,Paris,paris,city,Paris,Île-de-France,France,0.900,Mentioned with a date reference.
"Beaux présents, belles absentes",pdf,89,Paris,Paris,city,Paris,Île-de-France,France,0.950,Multiple literary references and publications listed as being from Paris.
"Beaux présents, belles absentes",pdf,89,Villeneuve-lès-Avignon,Villeneuve-les-Avignon,city,Villeneuve-lès-Avignon,Occitanie,France,0.950,Reference to a publication from Villeneuve-lès-Avignon.
"Beaux présents, belles absentes",pdf,89,Cérisols,Cérisols,other,,,,0.700,Mentioned in the context of a publication.
"Beaux présents, belles absentes",pdf,90,Paris,Paris,city,Paris,Île-de-France,France,1.000,Referenced in the title of a literary work.
"Beaux présents, belles absentes",pdf,90,Toulouse,Toulouse,city,Toulouse,Occitanie,France,1.000,Mentioned as the location of a publication.
"Beaux présents, belles absentes",pdf,90,Brisbane,Brisbane,city,Brisbane,Queensland,Australia,1.000,Stated as the location of a letter.
"Beaux présents, belles absentes",pdf,90,Australia,Australia,country,,,Australia,1.000,Mentioned in the context of a letter’s address.
"Beaux présents, belles absentes",pdf,92,Venise,Venice,city,Venice,Veneto,Italy,0.900,Adieu à Venise
"Beaux présents, belles absentes",pdf,93,Paris,Paris,city,Paris,Île-de-France,France,0.950,Georges Perec est mort à Paris le 3 mars 1982.
