work,source_type,source_ref,mention_text,normalized_text,mention_kind,spatial_type,usage,city,region,country,confidence,context
"Beaux Présents, Belles Absentes",pdf,26,lac,lac,generic_spatial_entity,water,literal,,,,0.950,que le saule s'éploie là où le lac accueille l'eau
"Beaux Présents, Belles Absentes",pdf,26,quai,quai,generic_spatial_entity,transport_space,literal,,,,0.950,l'écluse au quai clouée
"Beaux Présents, Belles Absentes",pdf,26,île,île,generic_spatial_entity,natural_feature,literal,,,,0.950,"où s'épelle le souci ou la joie, le sac ou la coquille, l'ocelle, le silo, le cap ou l'île"
"Beaux Présents, Belles Absentes",pdf,27,plaine printanière,plaine printanière,generic_spatial_entity,natural_feature,literal,,,,0.950,La pleine lune éclairait la plaine printanière.
"Beaux Présents, Belles Absentes",pdf,27,cellule,cellule,generic_spatial_entity,room,literal,,,,0.950,Une électricité âcre pénétrait la cellule entière.
"Beaux Présents, Belles Absentes",pdf,31,la Grèce,Grèce,named_place,country,literal,,,Grèce,0.950,Célèbre la galère barbare au large de la rade!
"Beaux Présents, Belles Absentes",pdf,31,la rade,rade,generic_spatial_entity,water,literal,,,,0.950,Célèbre la galère barbare au large de la rade!
"Beaux Présents, Belles Absentes",pdf,25,cluse,cluse,generic_spatial_entity,natural_feature,literal,,,,0.800,Que la cluse ou le col peuple ces alpes lasses.
"Beaux Présents, Belles Absentes",pdf,25,col,col,generic_spatial_entity,natural_feature,literal,,,,0.800,Que la cluse ou le col peuple ces alpes lasses.
"Beaux Présents, Belles Absentes",pdf,25,alpes,Alpes,generic_spatial_entity,natural_feature,literal,,,,0.800,Que la cluse ou le col peuple ces alpes lasses.
"Beaux Présents, Belles Absentes",pdf,25,seuil,seuil,generic_spatial_entity,threshold,literal,,,,0.800,se lise ce lieu seul esquissé où le seuil s'accouple à l'escale.
"Beaux Présents, Belles Absentes",pdf,25,escale,escale,generic_spatial_entity,threshold,literal,,,,0.800,se lise ce lieu seul esquissé où le seuil s'accouple à l'escale.
"Beaux Présents, Belles Absentes",pdf,25,palais,palais,generic_spatial_entity,building,literal,,,,0.800,le palais à la coupole.
